Job Title,Salary Range in Thousand Dollars,Rating,Company Name,Location.1,Location.2,Size,Type of Ownership,Industry,Sector
Data Analyst,51-70,3.8,Undertone,New York,NY,201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Clinical Data Analyst,51-70,3.8,NYSTEC,New York,NY,51 to 200 employees,Nonprofit Organization,Consulting,Business Services
Data Programmer/Analyst,51-70,3.9,Education Development Center Inc,New York,NY,501 to 1000 employees,Nonprofit Organization,Research & Development,Business Services
Data Analyst,51-70,4.9,Teachers Pay Teachers,New York,NY,51 to 200 employees,Private,Internet,Information Technology
"Product Analyst, Data Science",51-70,4.4,Google,New York,NY,10000+ employees,Public,Internet,Information Technology
Data Science Analyst,51-70,,MUSIC  Entertainment,New York,NY,Unknown,Public,Unknown,Unknown
Data Analyst - Intex Developer,51-70,3.3,Macquarie Group,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
Data Analyst,51-70,3.5,Andiamo,New York,NY,201 to 500 employees,Private,Casual Restaurants,"Restaurants, Bars & Food Services"
Entry Level / Jr. Data Analyst,51-70,3.8,Dash Technologies Inc,New York,NY,1 to 50 employees,Other Organization,Unknown,Unknown
Data Analyst,51-70,4,Hearst Communications,New York,NY,1 to 50 employees,Private,Advertising & Marketing,Business Services
Data + Business Intelligence Analyst,51-70,5,Duolingo,New York,NY,201 to 500 employees,Private,Internet,Information Technology
"Data Analyst, Product",51-70,4.8,Ro,New York,NY,51 to 200 employees,Private,Health Care Services & Hospitals,Health Care
Data Analyst Entry Level,51-70,3.7,Endai,New York,NY,1 to 50 employees,Private,Advertising & Marketing,Business Services
Data Analyst,51-70,4.7,BlueLabs,New York,NY,1 to 50 employees,Private,Research & Development,Business Services
Data Analyst,51-70,3.6,Revel,Brooklyn,NY,51 to 200 employees,Private,Consulting,Business Services
Data Analyst,51-70,3.6,NALLAS CORPORATION,Jersey City,NJ,1 to 50 employees,Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst,51-70,3.5,Pozent,New York,NY,1 to 50 employees,Contract,Unknown,Unknown
"Data Science Analyst, Capital Markets",51-70,3.2,SoFi,New York,NY,1001 to 5000 employees,Private,Lending,Finance
Data Analyst (Games),51-70,,Carryst,New York,NY,Unknown,Other Organization,Unknown,Unknown
Analyst/Associate Global Markets Credit Data Analyst,51-70,3.7,Bank of America,New York,NY,10000+ employees,Public,Banks & Credit Unions,Finance
Data Business Analyst,51-70,,Clear Street,New York,NY,51 to 200 employees,Public,Unknown,Unknown
Data Analyst With Excel/Dax/ Powerbi Experience- Fulltime,51-70,3.6,Nutech Information Systems,New York,NY,1 to 50 employees,Private,Computer Hardware & Software,Information Technology
Data Science Analyst/Engineer,51-70,4,NYU Langone Health,New York,NY,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,51-70,4.6,The Trevor Project,New York,NY,51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
"Business Analyst, Data Platforms",51-70,,Pinto,New York,NY,1 to 50 employees,Private,Unknown,Unknown
Behavioral Data Analyst,51-70,,AB InBev,New York,NY,1001 to 5000 employees,Public,Unknown,Unknown
Data Analyst,51-70,5,Whip Media Group,New York,NY,51 to 200 employees,Private,Unknown,Unknown
Data Analyst -1+ Year Contract - Nyc,51-70,4,Two International Inc,New York,NY,1 to 50 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst,51-70,3,Vettery,New York,NY,201 to 500 employees,Private,Internet,Information Technology
Data Analyst,51-70,2.9,Nesco Resource LLC,New York,NY,1001 to 5000 employees,Private,Staffing & Outsourcing,Business Services
Advertising Data Analyst,51-70,4,Hearst Communications,New York,NY,1 to 50 employees,Private,Advertising & Marketing,Business Services
Data Analyst,51-70,3.6,MediaMath,New York,NY,501 to 1000 employees,Private,Advertising & Marketing,Business Services
Market Data Reporting Analyst,51-70,4.9,Jordan  Jordan,New York,NY,1 to 50 employees,Private,Brokerage Services,Finance
"Senior Analyst, Data Science",51-70,3.9,Roku,New York,NY,1001 to 5000 employees,Public,IT Services,Information Technology
"Senior Data Analyst, Disney+",51-70,4,Walt Disney Co,New York,NY,10000+ employees,Public,Motion Picture Production & Distribution,Media
"Office Of The Cao | Reference Data, Project Manager/Business Analyst",51-70,3.8,Citadel,New York,NY,1001 to 5000 employees,Private,Unknown,Unknown
Business Data Analyst,51-70,3.7,Xoriant Corporation,Jersey City,NJ,1001 to 5000 employees,Private,IT Services,Information Technology
Senior Data Analyst,51-70,3.6,Gemini,New York,NY,51 to 200 employees,Private,Brokerage Services,Finance
Data Scientist / Big Data Analytics Analyst,51-70,3.6,TSR Inc,Weehawken,NJ,201 to 500 employees,Public,Staffing & Outsourcing,Business Services
Data Reporting Analyst,51-70,,NADAP NYS INC,New York,NY,Unknown,Other Organization,Unknown,Unknown
"Principal Data Analyst, Latam - Disney Streaming Services",51-70,4,Walt Disney Co,New York,NY,10000+ employees,Public,Motion Picture Production & Distribution,Media
Data Analyst Ii,51-70,3.2,Fragomen Worldwide,New York,NY,1001 to 5000 employees,Private,Legal,Accounting & Legal
"Data Analyst - Environmental, Social, And Governance",51-70,3.8,Bloomberg,New York,NY,10000+ employees,Private,Computer Hardware & Software,Information Technology
Data Analyst,51-70,3.9,Real Capital Analytics,New York,NY,51 to 200 employees,Private,Real Estate,Real Estate
"Data Analyst, Revenue Analytics",51-70,4.8,Ro,New York,NY,51 to 200 employees,Private,Health Care Services & Hospitals,Health Care
Data Analyst - Data Acquisition / Data Lineage,51-70,3.6,Perficient,New York,NY,1001 to 5000 employees,Public,IT Services,Information Technology
Data Analyst - Data Scanning Utilizing Rochade,51-70,3.6,Perficient,New York,NY,1001 to 5000 employees,Public,IT Services,Information Technology
Data Analyst - Stitching,51-70,3.6,Perficient,New York,NY,1001 to 5000 employees,Public,IT Services,Information Technology
Junior Data Analyst,51-70,4.1,Kforce,New York,NY,10000+ employees,Public,Staffing & Outsourcing,Business Services
"Data Analyst, Retail Media",51-70,3.9,Criteo,New York,NY,1001 to 5000 employees,Public,Internet,Information Technology
Data Analyst,51-70,3,Royal Communications,New York,NY,1 to 50 employees,Private,IT Services,Information Technology
Portfolio Data Analyst,51-70,3.7,Neuberger Berman,New York,NY,1001 to 5000 employees,Private,Investment Banking & Asset Management,Finance
Data Science Analyst,51-70,,Greater New York Mutual Insurance Companies GNY,New York,NY,Unknown,Other Organization,Unknown,Unknown
Data/Reporting Analyst,51-70,3.9,Diverse Lynx,New York,NY,501 to 1000 employees,Private,IT Services,Information Technology
Data Analyst 2,51-70,3.7,eTeam Inc,New York,NY,51 to 200 employees,Private,Staffing & Outsourcing,Business Services
Entry Level Data Analyst,51-70,,impakt Advisors,New York,NY,1 to 50 employees,Private,Consulting,Business Services
Marketing Data Analyst,51-70,3.6,Current,New York,NY,201 to 500 employees,Public,Unknown,Unknown
Data/Information Mgt Analyst,51-70,3.7,Citi,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
Business Data Analyst,51-70,3.6,Axelon Services Corporation,New York,NY,501 to 1000 employees,Private,Staffing & Outsourcing,Business Services
Information Systems Officer (Data Analyst),51-70,4.1,United Nations,New York,NY,10000+ employees,Government,Federal Agencies,Government
Media Science Big Data Analyst,51-70,3.5,Discovery Communications Inc,New York,NY,10000+ employees,Public,TV Broadcast & Cable Networks,Media
Data Analyst,51-70,3.7,Randstad,Jersey City,NJ,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,51-70,5,Mulberry Technology,New York,NY,1 to 50 employees,Private,Unknown,Unknown
Data Analyst With Python,51-70,4,Two International Inc,New York,NY,1 to 50 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst,51-70,4.8,SoftStandard Solutions,New York,NY,51 to 200 employees,Private,Unknown,Unknown
Data Analyst,51-70,5,EDO Inc,New York,NY,1 to 50 employees,Private,Internet,Information Technology
"Healthcare Data Analyst, Qsight",51-70,3.3,Guidepoint,New York,NY,501 to 1000 employees,Private,Research & Development,Business Services
Ba/Data Analyst,51-70,4.1,Mitchell Martin,New York,NY,501 to 1000 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst Python,51-70,4,Lorven Technologies Inc,New York,NY,1 to 50 employees,Private,Accounting,Accounting & Legal
"Data Analyst, Bitcoin Trading Firm",51-70,,Fintech Recruiters,New York,NY,Unknown,Private,Unknown,Unknown
Data Analyst-Ba,51-70,1,Sphinix Network Solutions Inc,New York,NY,1 to 50 employees,Private,IT Services,Information Technology
Data Analytics Solutions Analyst,51-70,3.1,Praescient Analytics,New York,NY,51 to 200 employees,Private,Consulting,Business Services
Quantitative Data Analyst,51-70,4.5,Global Atlantic Financial Group,New York,NY,1001 to 5000 employees,Private,Insurance Carriers,Insurance
Data Analyst,51-70,3.4,FINRA,New York,NY,1001 to 5000 employees,Nonprofit Organization,Brokerage Services,Finance
Data Analyst,51-70,,NYU Langone Medical Center,New York,NY,Unknown,Other Organization,Unknown,Unknown
"Descriptive Analytics Data Analyst, Ib",51-70,3.6,Jefferies,New York,NY,1001 to 5000 employees,Public,Investment Banking & Asset Management,Finance
Data Analyst,51-70,4.1,RGP,New York,NY,1001 to 5000 employees,Public,Consulting,Business Services
Data Analyst,51-70,4.4,Tachyon Technologies,New York,NY,201 to 500 employees,Private,IT Services,Information Technology
Data Analyst,51-70,3.8,Apex Systems,Jersey City,NJ,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,51-70,3.2,Hagerty Consulting,New York,NY,1 to 50 employees,Private,Consulting,Business Services
Data Analyst,51-70,,Gainful Health,New York,NY,1 to 50 employees,Private,Food & Beverage Stores,Retail
Business Data Analyst,51-70,3.8,Cortex consultants LLC,New York,NY,501 to 1000 employees,Private,Consulting,Business Services
Data Analyst,51-70,4.7,Medly Pharmacy,Brooklyn,NY,201 to 500 employees,Other Organization,Health Care Services & Hospitals,Health Care
Healthcare Data Analyst,51-70,2.3,Fair Health,New York,NY,1 to 50 employees,Nonprofit Organization,Unknown,Unknown
Supply Chain Data Analyst,51-70,3.8,Peloton Interactive,New York,NY,1001 to 5000 employees,Public,"Health, Beauty, & Fitness",Consumer Services
Data Analyst - Ibm Tool Set,51-70,4.6,ektello,New York,NY,201 to 500 employees,Private,Staffing & Outsourcing,Business Services
Analyst-Data Integrity,51-70,3,Premier Inc,New York,NY,1001 to 5000 employees,Public,Health Care Services & Hospitals,Health Care
"Reference Data Operations Analyst - Index Instrument, Associate",51-70,3.9,JPMorgan Chase,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
Data Analyst,51-70,3,Fund for Public Health,Long Island City,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data & Service Health Analyst,51-70,4.2,BlueVoyant,New York,NY,51 to 200 employees,Private,Unknown,Unknown
Data/Systems Analyst,51-70,5,Crossfire Consulting Corporation,New York,NY,51 to 200 employees,Private,Consulting,Business Services
Data Analyst,51-70,4,Reliable Software Resources,New York,NY,501 to 1000 employees,Private,IT Services,Information Technology
Data Analyst,51-70,,Hyde Leadership Brooklyn,Brooklyn,NY,51 to 200 employees,School,Unknown,Unknown
Data Analyst,51-70,,Vertex Intel Systems,Jersey City,NJ,Unknown,Other Organization,Unknown,Unknown
Data Analyst Intern,51-70,3.6,My Job Tank,Jersey City,NJ,51 to 200 employees,Private,IT Services,Information Technology
"Data Analytics Analyst Or Associate, Cowen Sustainable Investments",51-70,3.7,Cowen,New York,NY,501 to 1000 employees,Public,Investment Banking & Asset Management,Finance
Data Reporting Analyst,51-70,3.5,Robert Half,New York,NY,10000+ employees,Public,Staffing & Outsourcing,Business Services
Data Analyst,51-70,2.8,FJAUS Inc,New York,NY,51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Data Analyst,51-70,5,Averity,New York,NY,1 to 50 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst,51-70,3.8,Capgemini,Jersey City,NJ,10000+ employees,Public,Enterprise Software & Network Solutions,Information Technology
Erp Data Analyst,51-70,3.4,Wildlife Conservation Society,New York,NY,1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Analyst,51-70,3.6,Asembia,Florham Park,NJ,501 to 1000 employees,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Healthcare Data/Reporting Analyst,51-70,,Vesta Healthcare,New York,NY,1 to 50 employees,Private,Health Care Services & Hospitals,Health Care
Pbm Data Analyst,51-70,3.2,SEIU Funds,New York,NY,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Data Analyst (Temporary Assignment),71-90,3.8,Nutrafol,New York,NY,51 to 200 employees,Other Organization,"Health, Beauty, & Fitness",Consumer Services
Data Analyst,71-90,3.5,New York Life Insurance Co,New York,NY,10000+ employees,Private,Insurance Agencies & Brokerages,Insurance
Market Data Analyst,71-90,3.5,EDP World Inc,New York,NY,1 to 50 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst,71-90,4.1,Phyton Talent Advisors,Jersey City,NJ,1 to 50 employees,Private,Unknown,Unknown
Junior Data Analyst,71-90,5,Staffigo Technical Services LLC,New York,NY,51 to 200 employees,Private,IT Services,Information Technology
Microsoft Dynamics Crm Data Analyst,71-90,3.7,IBM,New York,NY,10000+ employees,Public,IT Services,Information Technology
Practice Analyst Data,71-90,4,Northwell Health,Manhasset,NY,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Buyside - Data Scientist/Research Analyst,71-90,3.3,Huxley,New York,NY,201 to 500 employees,Private,Staffing & Outsourcing,Business Services
Data Analyst - Healthcare Provider Networks And Formularies,71-90,2.9,Vericred,New York,NY,1 to 50 employees,Private,Internet,Information Technology
Electronic Trading Data Analyst,71-90,3.6,Scotiabank,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
"Data Analyst, Center For Developing Brain",71-90,3.2,Child Mind Institute,New York,NY,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Processing & Performance Analyst,71-90,3.1,Balance Innovations,New York,NY,51 to 200 employees,Private,Computer Hardware & Software,Information Technology
Business Analyst - Data Analyst,71-90,3.4,Asset Staffing,Newark,NJ,201 to 500 employees,Contract,Staffing & Outsourcing,Business Services
Data Analyst With Rochade,71-90,4,Reliable Software Resources,New York,NY,501 to 1000 employees,Private,IT Services,Information Technology
Advertising Data Analyst,71-90,4.3,Hearst Television Inc,New York,NY,51 to 200 employees,Private,TV Broadcast & Cable Networks,Media
Product Analyst - Data,71-90,2.7,William Hill US,Jersey City,NJ,10000+ employees,Public,Gambling,"Arts, Entertainment & Recreation"
Senior Data Analyst,71-90,4.1,Rockstar Games,New York,NY,1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
Data Analyst,71-90,4.4,ZDAAS,Brooklyn,NY,1 to 50 employees,Private,Unknown,Unknown
Market Research Data Analyst - Physician Technology,71-90,3.1,Decision Resources Group,New York,NY,1001 to 5000 employees,Subsidiary or Business Segment,IT Services,Information Technology
Data Analyst,71-90,3,Highbridge Consulting LLC,New York,NY,1 to 50 employees,Private,Unknown,Unknown
Look Ml Data Analyst,71-90,2.9,NTT DATA Inc,New York,NY,201 to 500 employees,Private,Accounting,Accounting & Legal
Data Collection Analyst,71-90,3.9,Columbia University,New York,NY,10000+ employees,School,Colleges & Universities,Education
Data Analyst,71-90,4.2,Precision technologies corp,New York,NY,201 to 500 employees,Private,IT Services,Information Technology
Data Entry/ Billing Analyst,71-90,3.9,Cactus Holdings,Queens Village,NY,1001 to 5000 employees,Private,Research & Development,Business Services
Student Persistence Initiative Data Analyst/Scientist,71-90,4.2,Cuny Research Foundation,New York,NY,10000+ employees,Nonprofit Organization,Colleges & Universities,Education
Data Quality Analyst,71-90,,SGA Inc,New York,NY,1 to 50 employees,Private,Architectural & Engineering Services,Business Services
Data Governance Analyst,71-90,5,Crossfire Consulting Corporation,New York,NY,51 to 200 employees,Private,Consulting,Business Services
Sr. Business Intelligence Engineer / Data Analyst,71-90,3.9,Amazon,New York,NY,10000+ employees,Public,Internet,Information Technology
Data Analyst,71-90,3.4,Voice,Brooklyn,NY,Unknown,Private,Unknown,Unknown
Data Analyst,71-90,2.9,NTT DATA Inc,New York,NY,201 to 500 employees,Private,Accounting,Accounting & Legal
Data Analyst,51-70,4,NYU Langone Health,New York,NY,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Healthcare Data/Reporting Analyst,51-70,3.6,HOMETEAM,New York,NY,51 to 200 employees,Private,Health Care Services & Hospitals,Health Care
Data Analyst I - Geriatrics And Palliative Care,51-70,3.4,Mount Sinai Health System,New York,NY,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,51-70,,Monkey Algorithms LLC,New York,NY,Unknown,Other Organization,Unknown,Unknown
Data Analyst/Rochade,51-70,3.3,Halcyon Solutions Inc,New York,NY,51 to 200 employees,Private,IT Services,Information Technology
"Data Analyst, Revenue Analytics",51-70,3.2,Roman,New York,NY,201 to 500 employees,Private,Unknown,Unknown
Data Analyst,51-70,3.8,COUNCIL ON ACCREDITATION,New York,NY,51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Analyst,51-70,,APR Staffing,New York,NY,Unknown,Other Organization,Unknown,Unknown
"Data Analyst Ii, Division Of Gastroenterology (Research)",51-70,3.4,Mount Sinai Health System,New York,NY,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
"Data Analyst, Student Success Program",51-70,3.2,Child Mind Institute,New York,NY,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Big Data Qa Analyst With Jupyter Notebook,51-70,3.2,COOLSOFT,Newark,NJ,51 to 200 employees,Private,"Health, Beauty, & Fitness",Consumer Services
"Analyst, Data Centers Industry",51-70,3.3,Research,New York,NY,201 to 500 employees,Private,Research & Development,Business Services
Data Analyst,51-70,,Stark HR Consulting LLC,New York,NY,Unknown,Other Organization,Unknown,Unknown
Financial - Data Analyst,51-70,3.8,Amenity Analytics,New York,NY,51 to 200 employees,Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst With Data Scanning And Profiling,51-70,3.3,Halcyon Solutions Inc,New York,NY,51 to 200 employees,Private,IT Services,Information Technology
Business Analyst - Data Governance,51-70,4.1,Rockstar Games,New York,NY,1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
Senior Data Analyst - Health Economist,51-70,2.9,Vericred,New York,NY,1 to 50 employees,Private,Internet,Information Technology
Lead Data Insights Analyst,51-70,,TapRm,Brooklyn,NY,Unknown,Other Organization,Unknown,Unknown
Research Analyst (Data Science),51-70,3.4,APCO Worldwide,New York,NY,501 to 1000 employees,Private,Consulting,Business Services
Data Management Analyst,51-70,2.5,Brooklyn Community Services,Brooklyn,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Business Analyst / Data Analyst,51-70,4.4,Softcom Systems,Weehawken,NJ,1 to 50 employees,Private,IT Services,Information Technology
Healthcare Data/Reporting Analyst,51-70,3.9,Diverse Lynx,New York,NY,501 to 1000 employees,Private,IT Services,Information Technology
Clinical Data Analyst,51-70,2.3,Fair Health,New York,NY,1 to 50 employees,Nonprofit Organization,Unknown,Unknown
Sr. Data Profiling Analyst,51-70,3.6,UBS,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
"Data Analytics Analyst Or Associate, Cowen Sustainable Investments",51-70,,Cowen Group Inc,New York,NY,1 to 50 employees,Other Organization,Unknown,Unknown
Data Analyst,51-70,3.6,Workforce Logiq,Haworth,NJ,501 to 1000 employees,Private,Consulting,Business Services
Data Analyst,51-70,3.3,Cross River Bank,Fort Lee,NJ,201 to 500 employees,Private,Banks & Credit Unions,Finance
"Sr. Data Analyst, Revenue Analytics, Peacock",51-70,3.8,NBCUniversal,New York,NY,10000+ employees,Public,TV Broadcast & Cable Networks,Media
Senior Data Analyst,51-70,3.7,Narrativ,New York,NY,1 to 50 employees,Private,Internet,Information Technology
Data Analyst,51-70,,CompuForce,New York,NY,Unknown,Private,Unknown,Unknown
Senior Data Analyst - Data Cataloging / Data Profiling,51-70,3.6,Perficient,New York,NY,1001 to 5000 employees,Public,IT Services,Information Technology
Data/Report Analyst,71-90,4,Lorven Technologies Inc,New York,NY,1 to 50 employees,Private,Accounting,Accounting & Legal
Senior Data Analyst,71-90,4.1,Bounce Exchange,New York,NY,201 to 500 employees,Private,Advertising & Marketing,Business Services
Human Capital Data Analyst,71-90,4.5,Green Key Resources,New York,NY,201 to 500 employees,Private,Staffing & Outsourcing,Business Services
Gis Data Analyst,71-90,3.7,nd Century Technologies,New York,NY,1001 to 5000 employees,Private,IT Services,Information Technology
Junior Data Analytics Solutions Analyst,71-90,3.1,Praescient Analytics,New York,NY,51 to 200 employees,Private,Consulting,Business Services
Data Analyst,71-90,,Capgemini America Inc,Jersey City,NJ,Unknown,Other Organization,Unknown,Unknown
Data Analyst W/Capital Markets,71-90,3.7,Software Guidance  Assistance,Jersey City,NJ,51 to 200 employees,Private,Staffing & Outsourcing,Business Services
"Vp, Research Project Analyst/Data Management",71-90,3.7,Citi,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
Food Data Analyst,71-90,3.2,Metropolitan Council on Jewish Poverty,New York,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Management Analyst,71-90,3.6,TSR Consulting,New York,NY,201 to 500 employees,Public,Staffing & Outsourcing,Business Services
Data Governance Analyst,71-90,3.6,UBS,Weehawken,NJ,10000+ employees,Public,Investment Banking & Asset Management,Finance
"Data Analyst, Enterprise Analytics",71-90,3.7,TakeTwo Interactive Software Inc,New York,NY,1001 to 5000 employees,Public,Video Games,Media
Data Analytics Solutions Analyst - Mid With Security Clearance,71-90,3.1,Praescient Analytics,New York,NY,51 to 200 employees,Private,Consulting,Business Services
Data Analyst Assistant,71-90,,Teus Health,Newark,NJ,Unknown,Other Organization,Unknown,Unknown
Investment Management Summer Analyst Program - Office Of Coo: Data & Analytics,71-90,3.8,Morgan Stanley,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
Data Collection Analyst,71-90,4.1,ICAP at Columbia University,New York,NY,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Collection Analyst,71-90,3.8,Columbia University Medical Center,New York,NY,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
Sr Business /Data Analyst- Reference Data,71-90,3.7,Xoriant Corporation,Jersey City,NJ,1001 to 5000 employees,Private,IT Services,Information Technology
Data Analyst,71-90,4.7,The Denzel Group,South Plainfield,NJ,1 to 50 employees,Private,Unknown,Unknown
Senior Data Analyst,71-90,3.7,Montefiore Medical,New York,NY,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Senior Data Analyst / Scientist,71-90,3.3,Cedent Consulting,New York,NY,1 to 50 employees,Private,Consulting,Business Services
Senior Data Analyst - Regulatory Reporting,71-90,3.4,ACS,New York,NY,1 to 50 employees,Private,General Repair & Maintenance,"Construction, Repair & Maintenance"
Data Reporting Analyst,71-90,3.2,NADAP,New York,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Governance Analyst,71-90,,SGA Inc,New York,NY,1 to 50 employees,Private,Architectural & Engineering Services,Business Services
Data Analyst,71-90,,Newspaper Administration,New York,NY,Unknown,Other Organization,Unknown,Unknown
Senior Data Analyst (6-12 Month Contract-Remote),71-90,5,VISTRADA,New York,NY,1 to 50 employees,Private,Advertising & Marketing,Business Services
"Principal Data Analyst, Latam Â€“ Disney Streaming Services",71-90,3.6,Disney Streaming Services,New York,NY,501 to 1000 employees,Private,Internet,Information Technology
Data Analyst- Win 10 Migration- Nyc,71-90,3,Royal Communications Consultants Inc,New York,NY,1 to 50 employees,Private,IT Services,Information Technology
Data Analyst (35 Hours/Week),71-90,3.5,CASES,New York,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Tech Business/Data Analyst,71-90,1,Sphinix Network Solutions Inc,New York,NY,1 to 50 employees,Private,IT Services,Information Technology
Data Analyst,51-70,5,Staffigo Technical Services LLC,New York,NY,51 to 200 employees,Private,IT Services,Information Technology
"Senior Data Analyst, Financial Services",51-70,5,Earnest Research,New York,NY,51 to 200 employees,Private,Research & Development,Business Services
"Enterprise Data, Financial Data Analyst - Content Design Specialist Contractor",51-70,3.8,Bloomberg,New York,NY,10000+ employees,Private,Computer Hardware & Software,Information Technology
Data Analyst,51-70,4.1,APN Software Services Inc,New York,NY,51 to 200 employees,Private,Computer Hardware & Software,Information Technology
Data Analyst,51-70,3.3,Acacia Network,Bronx,NY,1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit
Senior Data Analyst,51-70,,Miller Cang Agency,New York,NY,Unknown,Other Organization,Unknown,Unknown
Data Remediation Analyst-Ek020719A/Jl,51-70,3.5,EDP World Inc,New York,NY,1 to 50 employees,Private,Staffing & Outsourcing,Business Services
Business Analyst - Chief Data Office,51-70,3.7,Citi,New York,NY,10000+ employees,Public,Investment Banking & Asset Management,Finance
"Senior Analyst, Data Instrumentation & Quality (Disney+)",51-70,4,Walt Disney Co,New York,NY,10000+ employees,Public,Motion Picture Production & Distribution,Media
Sr. Data Analyst,51-70,3.4,NTT DATA,New York,NY,10000+ employees,Public,IT Services,Information Technology
Big Data Programmer Analyst,51-70,3.6,TSR Inc,Jersey City,NJ,201 to 500 employees,Public,Staffing & Outsourcing,Business Services
Lead Data Analyst,51-70,,Attentive,New York,NY,1 to 50 employees,Private,Unknown,Unknown
Data Analyst,51-70,3.5,Fidelis Group,Little Ferry,NJ,51 to 200 employees,Private,Consulting,Business Services
